"Criterio","Número Videos"
"allintitle:deftones rosemary","0"
"allintitle:Deff w","8"
"allintitle:def wish","20"
"allintitle:def wish cast","21"
"allintitle:def wish 2","5"
"allintitle:def wish 3","0"
"allintitle:def wish cast knights of the underground table","0"
"allintitle:def will","27"
"allintitle:def wish ii","0"
"allintitle:def when love and hate collide","0"
"allintitle:def wish cast dun proppa","1"
"allintitle:def woman","4"
"allintitle:def will winding road","2"
"allintitle:def wish cast forever","1"
"allintitle:def web","18"
"allintitle:def wish instrumental","0"
"allintitle:Deff y","6"
"allintitle:def yellow light flashing","0"
"allintitle:deaf youtuber","0"
"allintitle:define you","20"
"allintitle:def yangın","1"
"allintitle:def yakamoz","0"
"allintitle:define yeet","1"
"allintitle:def you","7"
"allintitle:yuh def","0"
"allintitle:yo def","14"
"allintitle:def leppard miss you","4"
"allintitle:def leppard have you ever","0"
"allintitle:all def ynw melly","0"
"allintitle:all def ynw bslime","0"
"allintitle:mos def yo gabba","0"
